cust_id,pdays,previous,poutcome
,,,
25391,,,
,,,
3686,,,
,,,
31762,,,
,,,
19809,,,
,,,
25365,,,
,,,
8678,,,
,,,
18810,,,
,,,
25671,,,
,,,
33132,,,
,,,
34275,,,
,,,
29342,,,
,,,
25222,,,
,,,
27911,,,
,,,
1610,,,
,,,
13608,,,
,,,
13502,,,
,,,
15562,,,
,,,
32623,,,
,,,
27456,,,
,,,
28150,,,
,,,
15367,,,
,,,
3375,,,
,,,
21189,,,
,,,
8065,,,
,,,
6435,,,
,,,
10581,,,
,,,
19659,,,
,,,
37442,,,
,,,
32443,,,
,,,
5446,,,
,,,
31496,,,
,,,
18534,,,
,,,
30480,,,
,,,
17043,,,
,,,
28852,,,
,,,
776,,,
,,,
40279,6,3,success
,,,
22480,,,
,,,
14053,,,
,,,
28605,,,
,,,
8572,,,
,,,
21837,,,
,,,
24889,,,
,,,
6788,,,
,,,
20343,,,
,,,
4057,,,
,,,
1858,,,
,,,
22607,,,
,,,
38451,,,
,,,
28494,,,
,,,
40190,,,
,,,
31522,,,
,,,
1095,,,
,,,
20779,,,
,,,
9790,,,
,,,
34638,,,
,,,
11618,,,
,,,
38558,,,
,,,
37612,,,
,,,
34095,,,
,,,
35568,,,
,,,
7569,,,
,,,
34855,,,
,,,
804,,,
,,,
39134,,,
,,,
32670,12,1,success
,,,
41091,3,6,success
,,,
9196,,,
,,,
9775,,,
,,,
16433,,,
,,,
36568,,,
,,,
545,,,
,,,
31491,,,
,,,
7722,,,
,,,
13395,,,
,,,
17363,,,
,,,
1920,,,
,,,
22764,,,
,,,
9231,,,
,,,
16476,,,
,,,
10777,,,
,,,
7809,,,
,,,
16099,,,
,,,
17943,,,
,,,
4804,,,
,,,
20966,,,
,,,
11823,,,
,,,
2208,,,
,,,
10956,,,
,,,
6810,,,
,,,
39203,,,
,,,
38653,,,
,,,
38786,,,
,,,
7062,,,
,,,
18658,,,
,,,
4910,,,
,,,
18488,,,
,,,
15297,,,
,,,
37029,,,
,,,
21882,,,
,,,
33620,,,
,,,
39484,,,
,,,
25025,,,
,,,
35486,,,
,,,
15669,,,
,,,
3484,,,
,,,
9674,,,
,,,
8094,,,
,,,
21135,,,
,,,
15543,,,
,,,
12642,,,
,,,
33900,,,
,,,
7726,,,
,,,
30822,,,
,,,
17627,,,
,,,
14369,,,
,,,
9004,,,
,,,
35160,,,
,,,
11821,,,
,,,
28534,,,
,,,
18394,,,
,,,
32716,,,
,,,
464,,,
,,,
7333,,,
,,,
32782,,,
,,,
29522,,,
,,,
11091,,,
,,,
19710,,,
,,,
30742,,,
,,,
9271,,,
,,,
23994,,,
,,,
1117,,,
,,,
20946,,,
,,,
598,,,
,,,
9439,,,
,,,
35069,,,
,,,
20702,,,
,,,
26329,,,
,,,
26887,,,
,,,
22827,,,
,,,
11041,,,
,,,
16696,,,
,,,
30414,2,1,success
,,,
24066,,,
,,,
28165,,,
,,,
26341,,,
,,,
14396,,,
,,,
18433,,,
,,,
30191,2,1,success
,,,
37527,,,
,,,
1751,,,
,,,
23459,,,
,,,
6440,,,
,,,
23010,,,
,,,
39952,,,
,,,
5235,,,
,,,
3850,,,
,,,
23626,,,
,,,
38496,,,
,,,
18441,,,
,,,
9971,,,
,,,
5215,,,
,,,
10915,,,
,,,
25410,,,
,,,
23610,,,
,,,
5190,,,
,,,
34041,,,
,,,
5633,,,
,,,
6546,,,
,,,
18832,,,
,,,
29839,,,
,,,
16424,,,
,,,
29698,,,
,,,
15578,,,
,,,
11311,,,
,,,
5608,,,
,,,
17632,,,
,,,
19442,,,
,,,
33424,,,
,,,
5910,,,
,,,
8108,,,
,,,
15734,,,
,,,
14793,,,
,,,
15937,,,
,,,
8773,,,
,,,
19561,,,
,,,
20377,,,
,,,
35744,,,
,,,
16384,,,
,,,
13713,,,
,,,
34699,,,
,,,
4098,,,
,,,
23193,,,
,,,
32361,,,
,,,
17947,,,
,,,
30229,,,
,,,
9383,,,
,,,
30002,6,1,success
,,,
31004,,,
,,,
12899,,,
,,,
26388,,,
,,,
26315,,,
,,,
14497,,,
,,,
15958,,,
,,,
15184,,,
,,,
32308,,,
,,,
4368,,,
,,,
31064,,,
,,,
20678,,,
,,,
10094,,,
,,,
26702,,,
,,,
1692,,,
,,,
14399,,,
,,,
21111,,,
,,,
40222,5,2,success
,,,
24340,,,
,,,
19681,,,
,,,
5921,,,
,,,
39373,,,
,,,
15647,,,
,,,
12742,,,
,,,
25205,,,
,,,
5365,,,
,,,
29811,,,
,,,
24520,,,
,,,
16218,,,
,,,
2984,,,
,,,
3379,,,
,,,
40241,,,
,,,
16837,,,
,,,
36136,,,
,,,
18447,,,
,,,
28618,,,
,,,
14291,,,
,,,
29029,,,
,,,
28798,,,
,,,
22617,,,
,,,
33241,,,
,,,
40857,,,
,,,
8098,,,
,,,
38309,,,
,,,
13429,,,
,,,
23516,,,
,,,
30187,,,
,,,
38001,3,1,success
,,,
17946,,,
,,,
36706,,,
,,,
23307,,,
,,,
20932,,,
,,,
20055,,,
,,,
17701,,,
,,,
9178,,,
,,,
15635,,,
,,,
1000,,,
,,,
22490,,,
,,,
9641,,,
,,,
23409,,,
,,,
6414,,,
,,,
38856,,,
,,,
38043,,,
,,,
14279,,,
,,,
17547,,,
,,,
11841,,,
,,,
32995,10,1,success
,,,
26599,,,
,,,
29211,,,
,,,
24387,,,
,,,
5232,,,
,,,
22903,,,
,,,
36555,,,
,,,
34605,,,
,,,
23468,,,
,,,
37134,,,
,,,
39731,,,
,,,
8343,,,
,,,
11228,,,
,,,
32896,,,
,,,
30222,,,
,,,
40853,,,
,,,
28207,,,
,,,
25541,,,
,,,
26,,,
,,,
22047,,,
,,,
21803,,,
,,,
14337,,,
,,,
36798,,,
,,,
14498,,,
,,,
26000,,,
,,,
3107,,,
,,,
32666,,,
,,,
32478,,,
,,,
25610,,,
,,,
1232,,,
,,,
36712,,,
,,,
35578,,,
,,,
20593,,,
,,,
7111,,,
,,,
18090,,,
,,,
29324,,,
,,,
34305,,,
,,,
14181,,,
,,,
41100,3,2,success
,,,
39924,,,
,,,
29076,,,
,,,
2489,,,
,,,
38282,,,
,,,
23592,,,
,,,
24355,,,
,,,
4248,,,
,,,
40943,3,3,success
,,,
32253,,,
,,,
3361,,,
,,,
20618,,,
,,,
40136,,,
,,,
35838,,,
,,,
10333,,,
,,,
18841,,,
,,,
3667,,,
,,,
31125,,,
,,,
19635,,,
,,,
20641,,,
,,,
33020,,,
,,,
5118,,,
,,,
22510,,,
,,,
28551,,,
,,,
34029,,,
,,,
4991,,,
,,,
35230,,,
,,,
11118,,,
,,,
34738,,,
,,,
33826,,,
,,,
7857,,,
,,,
21538,,,
,,,
15455,,,
,,,
39700,,,
,,,
20181,,,
,,,
4344,,,
,,,
7254,,,
,,,
2935,,,
,,,
6539,,,
,,,
31167,,,
,,,
11415,,,
,,,
5304,,,
,,,
11510,,,
,,,
17452,,,
